cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
350,291,0.75,14/09/01 18:00,14/09/02 12:00,49.57790000,1.10470000,50.7523,3.7431,,228,63,78.35051546
660,563,0.708333333,14/09/02 15:00,14/09/03 8:00,51.64080000,5.47780000,49.6072,11.0352,,452,111,80.28419183
1000,818,1,14/09/03 8:00,14/09/04 8:00,50.45850000,10.95790000,44.7031,11.0864,,640,178,78.2396088
1500,1136,3,14/09/05 12:00,14/09/08 12:00,44.61270000,11.78450000,49.25,3.95,,786,350,69.19014085
220,341,0.833333333,14/09/08 16:00,14/09/09 12:00,49.25000000,3.40000000,51.6705,3.7394,,270,71,79.17888563
650,741,0.875,14/09/09 15:00,14/09/10 12:00,51.64250000,3.57360000,50.9333,11.75,,573,168,77.32793522
450,453,0.625,14/09/11 16:00,14/09/12 7:00,51.10620000,10.55820000,51.9032,9.989,,96,357,21.19205298
650,475,1.041666667,14/09/30 8:00,14/10/01 9:00,51.50400000,6.58990000,49.6072,11.0352,,378,97,79.57894737
370,366,0.916666667,14/03/04 16:00,14/03/05 14:00,48.01840000,9.99310000,50.0678,8.9339,,240,126,65.57377049
350,349,0.854166667,14/03/05 15:30,14/03/06 12:00,50.58300000,8.06110000,51.1833,11.9667,,281,68,80.51575931
300,207,0.708333333,14/03/19 15:00,14/03/20 8:00,54.01670000,11.21670000,54.9983,9.4206,,159,48,76.8115942
670,680,1,14/03/20 8:00,14/03/21 8:00,53.94940000,9.68500000,49.0484,10.5056,,547,133,80.44117647
650,992,3,14/03/21 8:00,14/03/24 8:00,48.48640000,9.68750000,45.6451,8.6187,,326,666,32.86290323
2150,1473,1.958333333,14/03/25 16:00,14/03/27 15:00,45.83360000,11.95550000,49.4739,1.2102,,899,574,61.03190767
880,943,3,14/03/28 8:00,14/03/31 8:00,49.42910000,-0.30060000,43.6018,3.6966,,716,227,75.92788971
900,1052,2.375,14/03/31 0:00,14/04/02 9:00,42.97670000,2.83670000,50.6524,2.6196,,853,199,81.08365019
800,840,1,14/04/02 8:00,14/04/03 8:00,51.23460000,2.46450000,45.7263,4.2602,,626,214,74.52380952
685,885,2.770833333,14/04/04 13:30,14/04/07 8:00,46.10000000,3.11670000,51.591,6.7071,,664,221,75.02824859
1080,1209,1.916666667,14/04/07 14:00,14/04/09 12:00,52.05140000,6.86620000,44.8471,10.9252,,854,355,70.63688999
700,565,0.791666667,14/04/09 15:00,14/04/10 10:00,45.12690000,10.37550000,48.4833,11.2667,,379,186,67.07964602
840,838,3,14/05/09 8:00,14/05/12 8:00,52.51670000,11.01670000,46.9976,11.9368,,617,221,73.62768496
1180,691,1.083333333,14/05/13 12:00,14/05/14 14:00,45.60930000,11.54220000,43.6831,5.6196,,515,176,74.52966715
